"NumeroExpedient","CodiDistricte","DiaSetmana","Any","MesAny","NomMes","DiaMes","HoraDia","NumeroMorts","NumeroLesionatsLleus","NumeroLesionatsGreus","NumeroVictimes","NumeroVehiclesImplicats","CoordenadaUTM_X","CoordenadaUTM_Y"
"2014S000692","10","Dc",2014,1,"Gener",29,12,0,1,0,1,2,433836,4584949
"2014S009582","10","Ds",2014,12,"Desembre",27,14,0,1,0,1,1,434467,4584886
"2014S001601","10","Dm",2014,3,"Marc",4,5,0,0,1,1,1,433723,4585600
"2014S002082","10","Dj",2014,3,"Marc",20,14,0,0,0,0,1,433687,4585505
"2014S007057","10","Dj",2014,10,"Octubre",2,9,0,1,0,1,2,433252,4584779
"2014S004664","10","Dm",2014,6,"Juny",24,17,0,2,0,2,3,433117,4584789
"2014S005151","10","Dv",2014,7,"Juliol",11,18,0,1,0,1,2,432905,4584584
"2014S005121","10","Dj",2014,7,"Juliol",10,20,0,1,0,1,1,432587,4584475
"2014S004552","10","Dj",2014,6,"Juny",19,16,0,1,0,1,2,432814,4584663
"2014S005611","10","Dm",2014,7,"Juliol",29,19,0,2,0,2,2,433797,4585314
"2014S003663","10","Dl",2014,5,"Maig",19,9,0,1,0,1,2,433191,4584922
"2014S005588","10","Dl",2014,7,"Juliol",28,21,0,1,0,1,2,433936,4585808
"2014S004910","10","Dv",2014,7,"Juliol",4,7,0,1,0,1,2,432719,4584620
"2014S008386","10","Dv",2014,11,"Novembre",14,21,0,1,0,1,1,433407,4585234
"2014S006332","10","Dm",2014,9,"Setembre",2,19,0,2,0,2,2,433833,4585551
"2014S000356","10","Dj",2014,1,"Gener",16,15,0,1,0,1,2,433009,4583364
"2014S001469","10","Dj",2014,2,"Febrer",27,10,0,4,0,4,2,433333,4583386
"2014S000361","10","Dj",2014,1,"Gener",16,19,0,1,0,1,2,432989,4583778
"2014S000033","10","Dj",2014,1,"Gener",2,20,0,1,0,1,3,433074,4583446
"2014S008265","10","Dl",2014,11,"Novembre",10,20,0,2,0,2,2,433425,4583332
"2014S003057","10","Dv",2014,4,"Abril",25,22,0,2,0,2,2,433705,4583102
"2014S006590","10","Dg",2014,9,"Setembre",14,14,0,2,0,2,2,433557,4582963
"2014S002918","10","Dg",2014,4,"Abril",20,9,0,1,0,1,2,433485,4582893
"2014S005115","10","Dj",2014,7,"Juliol",10,15,0,0,1,1,2,433438,4584045
"2014S005889","10","Dl",2014,8,"Agost",11,18,0,1,0,1,2,434327,4584732
"2014S006672","10","Dc",2014,9,"Setembre",17,16,0,1,0,1,2,434178,4584565
"2014S002941","10","Dm",2014,4,"Abril",22,9,0,1,0,1,2,433571,4584514
"2014S008673","10","Dc",2014,11,"Novembre",26,10,0,2,0,2,1,434170,4584736
"2014S007337","10","Dg",2014,10,"Octubre",12,7,0,6,0,6,2,433980,4584678
"2014S004233","10","Dm",2014,6,"Juny",10,9,0,1,0,1,1,434044,4584029
"2014S005888","10","Dl",2014,8,"Agost",11,17,0,1,0,1,2,433752,4583912
"2014S000116","10","Dm",2014,1,"Gener",7,17,0,1,0,1,1,433488,4584232
"2014S004906","10","Dv",2014,7,"Juliol",4,7,0,1,0,1,2,432706,4583499
"2014S003191","10","Dc",2014,4,"Abril",30,15,0,1,0,1,2,434066,4583976
"2014S005491","10","Dm",2014,7,"Juliol",22,21,0,2,0,2,2,434417,4583949
"2014S003237","10","Dv",2014,5,"Maig",2,16,0,1,0,1,3,434468,4584703
"2014S002979","10","Dc",2014,4,"Abril",23,18,0,1,0,1,2,432575,4583742
"2014S005129","10","Dv",2014,7,"Juliol",11,7,0,1,0,1,2,434933,4584614
"2014S002166","10","Dl",2014,3,"Marc",24,17,0,1,0,1,2,434743,4584321
"2014S006784","10","Dl",2014,9,"Setembre",22,5,1,3,0,4,2,434599,4584179
"2014S003775","10","Dv",2014,5,"Maig",23,6,0,1,0,1,1,434241,4583823
"2014S002255","10","Dj",2014,3,"Marc",27,17,0,1,0,1,2,434443,4584049
"2014S007055","10","Dj",2014,10,"Octubre",2,7,0,1,0,1,2,434443,4584049
"2014S008116","10","Dc",2014,11,"Novembre",5,18,0,1,0,1,2,434443,4584049
"2014S004799","10","Dl",2014,6,"Juny",30,18,0,1,0,1,2,434371,4583978
"2014S008312","10","Dc",2014,11,"Novembre",12,14,0,1,0,1,2,432647,4584245
"2014S004291","10","Dc",2014,6,"Juny",11,13,0,0,1,1,2,432506,4583509
"2014S005108","10","Dj",2014,7,"Juliol",10,11,0,1,0,1,3,432451,4582945
"2014S007842","10","Dm",2014,10,"Octubre",28,8,0,1,1,2,2,432416,4582982
